spp,approx,error
1,0.0,0.12566370614359174
2,0.0,0.12566370614359174
3,0.0,0.12566370614359174
4,0.0,0.12566370614359174
5,0.8,0.6743362938564084
6,0.0,0.12566370614359174
7,0.0,0.12566370614359174
8,0.0,0.12566370614359174
9,0.0,0.12566370614359174
10,0.4,0.2743362938564083
11,0.7272727272727273,0.6016090211291356
12,0.3333333333333333,0.20766962718974158
13,0.3076923076923077,0.18202860154871597
14,0.0,0.12566370614359174
15,0.26666666666666666,0.14100296052307493
16,0.0,0.12566370614359174
17,0.0,0.12566370614359174
18,0.2222222222222222,0.09655851607863047
19,0.0,0.12566370614359174
20,0.0,0.12566370614359174
21,0.0,0.12566370614359174
22,0.0,0.12566370614359174
23,0.0,0.12566370614359174
24,0.0,0.12566370614359174
25,0.0,0.12566370614359174
26,0.15384615384615385,0.02818244770256212
27,0.14814814814814814,0.022484442004556404
28,0.2857142857142857,0.16005057957069396
29,0.27586206896551724,0.1501983628219255
30,0.4,0.2743362938564083
31,0.0,0.12566370614359174
32,0.5,0.37433629385640826
33,0.12121212121212122,0.00445158493147052
34,0.11764705882352941,0.008016647320062326
35,0.11428571428571428,0.011377991857877454
36,0.0,0.12566370614359174
37,0.0,0.12566370614359174
38,0.10526315789473684,0.0204005482488549
39,0.20512820512820512,0.07946449898461339
40,0.2,0.07433629385640828
41,0.0,0.12566370614359174
42,0.19047619047619047,0.06481248433259873
43,0.27906976744186046,0.15340606129826873
44,0.18181818181818182,0.05615447567459009
45,0.0,0.12566370614359174
46,0.08695652173913043,0.0387071844044613
47,0.0,0.12566370614359174
48,0.08333333333333333,0.04233037281025841
49,0.24489795918367346,0.11923425304008173
50,0.0,0.12566370614359174
51,0.1568627450980392,0.031199038954447478
52,0.15384615384615385,0.02818244770256212
53,0.3773584905660377,0.25169478442244597
54,0.37037037037037035,0.24470666422677861
55,0.14545454545454545,0.019790839310953712
56,0.14285714285714285,0.017193436713551113
57,0.07017543859649122,0.05548826754710051
58,0.13793103448275862,0.012267328339166883
59,0.13559322033898305,0.009929514195391315
60,0.13333333333333333,0.007669627189741596
61,0.13114754098360656,0.0054838348400148285
62,0.1935483870967742,0.06788468095318245
63,0.12698412698412698,0.0013204208405352413
64,0.125,0.0006637061435917357
65,0.12307692307692308,0.002586783066668652
66,0.06060606060606061,0.06505764553753113
67,0.11940298507462686,0.006260721068964872
68,0.058823529411764705,0.06684017673182703
69,0.0,0.12566370614359174
70,0.05714285714285714,0.0685208490007346
71,0.28169014084507044,0.1560264347014787
72,0.05555555555555555,0.07010815058803618
73,0.2191780821917808,0.09351437604818907
74,0.10810810810810811,0.01755559803548362
75,0.10666666666666667,0.018997039476925062
76,0.0,0.12566370614359174
77,0.05194805194805195,0.07371565419553978
78,0.15384615384615385,0.02818244770256212
79,0.25316455696202533,0.1275008508184336
80,0.15000000000000002,0.024336293856408286
81,0.24691358024691357,0.12124987410332183
82,0.1951219512195122,0.06945824507592047
83,0.0963855421686747,0.029278163974917032
84,0.3333333333333333,0.20766962718974158
85,0.0,0.12566370614359174
86,0.09302325581395349,0.03264045032963825
87,0.13793103448275862,0.012267328339166883
88,0.0,0.12566370614359174
89,0.2696629213483146,0.14399921520472286
